Disease	Microbe	Position	Evidence	PMID
Type 1 diabetes	Oscillibacter	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Oscillospira	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Oscillospiraceae bacterium NML 061048	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Pantoea	Gastrointestinal tract	Increase	22043294
Type 1 diabetes	Parabacteroides	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Pasteurella	Gastrointestinal tract	Increase	22043294
Type 1 diabetes	Pectobacterium	Gastrointestinal tract	Increase	22043294
Type 1 diabetes	Peptostreptococcus	Gastrointestinal tract	Increase	22043294
Type 1 diabetes	Phascolarctobacterium	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Porphyromonas	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Prevotella	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Proteobacteria	Gastrointestinal tract	Increase	22043294
Type 1 diabetes	Pusillimonas	Gastrointestinal tract	Increase	22043294
Type 1 diabetes	Roseburia	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Rumen bacterium 8/94-32	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Rumen bacterium R-7	Gastrointestinal tract	Increase	22043294
Type 1 diabetes	Rumen bacterium R-9	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Salmonella	Gastrointestinal tract	Increase	22043294
Type 1 diabetes	Segmented filamentous bacterium	Gastrointestinal tract	Increase	22043294
Type 1 diabetes	Serratia	Gastrointestinal tract	Increase	22043294
Type 1 diabetes	Shigella	Gastrointestinal tract	Increase	22043294
Type 1 diabetes	Shuttleworthia	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Solobacterium	Gastrointestinal tract	Increase	22043294
Type 1 diabetes	Streptococcus	Gastrointestinal tract	Increase	22043294
Type 1 diabetes	Subdoligranulum	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Sutterella	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Swine fecal bacterium FPC67	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Swine fecal bacterium FPC70	Gastrointestinal tract	Increase	22043294
Type 1 diabetes	Swine fecal bacterium RF3E-Xyl1	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Swine fecal bacterium SD-Pec1	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Swine manure pit bacterium PPC108	Gastrointestinal tract	Increase	22043294
Type 1 diabetes	Tenericutes	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Terrahaemophilus	Gastrointestinal tract	Increase	22043294
Type 1 diabetes	Unidentified bacterium ZF3	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Veillonella	Gastrointestinal tract	Increase	22043294
Type 1 diabetes	Verrucomicrobia	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Verrucomicrobia bacterium MS-F-88	Gastrointestinal tract	Decrease	22043294
Type 1 diabetes	Vibrio	Gastrointestinal tract	Increase	22043294
Type 1 diabetes	Yersinia	Gastrointestinal tract	Increase	22043294
Psoriasis	Propionibacterium	Skin	Decrease	22065152
Psoriasis	Proteobacteria	Skin	Increase	22065152
Psoriasis	Staphylococcus	Skin	Decrease	22065152
Ileal Crohn's disease(CD)	Lachnospiraceae	Gastrointestinal tract	Increase	22068912
Atopic dermatitis	Staphylococcus aureus	Skin	Decrease	22310478
Atopic dermatitis	Staphylococcus epidermidis	Skin	Decrease	22310478
COPD	Burkholderia	Lung	Increase	22427533
Cystic fibrosis	Burkholderia	Lung	Increase	22427533
COPD	Lactobacillus	Lung	Increase	22427533
Cystic fibrosis	Lactobacillus	Lung	Increase	22427533
Periodontal	Actinomyces	Subgingival	Decrease	22675498
Periodontal	Haemophilus	Subgingival	Increase	22675498
Periodontal	Selenomonas	Subgingival	Increase	22675498
Periodontal	Streptococcus	Subgingival	Decrease	22675498
Bacterial Vaginosis	Eggerthella	Vaginal	Increase	22719852
Bacterial Vaginosis	Leptotrichia amnionii	Vaginal	Increase	22719852
Allergic asthma	Helicobacter pylori	Gastric	Increase	22971068
Clostridium difficile infection(CDI)	Alistipes	Gastrointestinal tract	Decrease	23323867
Clostridium difficile infection(CDI)	Bacteroidaceae	Gastrointestinal tract	Decrease	23323867
Clostridium difficile infection(CDI)	Bacteroidetes	Gastrointestinal tract	Decrease	23323867
Clostridium difficile infection(CDI)	Firmicutes	Gastrointestinal tract	Decrease	23323867
Clostridium difficile infection(CDI)	Lachnospiraceae	Gastrointestinal tract	Decrease	23323867
Clostridium difficile infection(CDI)	Parabacteroides	Gastrointestinal tract	Decrease	23323867
Clostridium difficile infection(CDI)	Porphyromonadaceae	Gastrointestinal tract	Decrease	23323867
Clostridium difficile infection(CDI)	Proteobacteria	Gastrointestinal tract	Increase	23323867
Clostridium difficile infection(CDI)	Rikenellaceae	Gastrointestinal tract	Decrease	23323867
Clostridium difficile infection(CDI)	Ruminococcaceae	Gastrointestinal tract	Decrease	23323867
Clostridium difficile infection(CDI)	Verrucomicrobiaceae	Gastrointestinal tract	Decrease	23323867
Skin and mucosal infections	Acinetobacter	Skin	Increase	23796786
Skin and mucosal infections	Corynebacterium	Skin	Decrease	23796786
New-onset untreated rheumatoid arthrits	Prevotella copri	Gastrointestinal tract	Increase	24192039
Crohn's disease(CD)	Bacteroidales	Gastrointestinal tract	Decrease	24629344
Crohn's disease(CD)	Clostridiales	Gastrointestinal tract	Decrease	24629344
Crohn's disease(CD)	Erysipelotrichales	Gastrointestinal tract	Decrease	24629344
Crohn's disease(CD)	Fusobacteriaceae	Gastrointestinal tract	Increase	24629344
Crohn's disease(CD)	Veillonellaceae	Gastrointestinal tract	Increase	24629344
Periodontal	Porphyromonas	Subgingival	Increase	24692635
Periodontal	Prevotella	Subgingival	Increase	24692635
Periodontal	Tannerella	Subgingival	Increase	24692635
Periodontal	Treponema	Subgingival	Increase	24692635
Liver cirrhosis	Alistipes	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Alistipes finegoldii	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Alistipes putredinis	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Bacteroides	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Bacteroides eggerthii	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Bacteroides finegoldii	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Bacteroides sp. D20	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Bacteroides uniformis	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Bacteroidetes	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Bilophila	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Bilophila wadsworthia	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Clostridium	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Coprococcus	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Dorea	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Eubacterium	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Eubacterium eligens	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Eubacterium hallii	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Eubacterium rectale	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Faecalibacterium	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Faecalibacterium prausnitzii	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Fusobacteria	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Fusobacterium	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Haemophilus	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Haemophilus parainfluenzae	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Holdemania	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Lactobacillus	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Lactobacillus salivarius	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Megasphaera	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Odoribacter	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Odoribacter splanchnicus	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Parabacteroides	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Parabacteroides distasonis	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Parabacteroides merdae	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Phascolarctobacterium	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Prevotella	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Proteobacteria	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Roseburia	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Roseburia hominis	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Roseburia intestinalis	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Ruminococcus	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Ruminococcus gnavus	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Streptococcus	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Streptococcus anginosus	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Streptococcus parasanguinis	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Streptococcus salivarius	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Streptococcus vestibularis	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Subdoligranulum	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Tannerella	Gastrointestinal tract	Decrease	25079328
Liver cirrhosis	Veillonella	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Veillonella atypica	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Veillonella dispar	Gastrointestinal tract	Increase	25079328
Liver cirrhosis	Veillonella parvula	Gastrointestinal tract	Increase	25079328
